"KEGG","OTHERID"
"mmu:100043224","NP_001160109"
"mmu:100043227","NP_001160106"
"mmu:100043231","NP_001160110"
"mmu:100043235","NP_001160111"
"mmu:100043239","NP_001160113"
"mmu:100043247","NP_001160108"
"mmu:100043254","NP_001157083"
"mmu:100043272","NP_001288198"
"mmu:100043292","NP_001171006"
"mmu:100043300","NP_001242906"
"mmu:100043314","NP_001139797"
"mmu:100043326","NP_001257470"
"mmu:100043332","NP_001241882"
"mmu:100043381","NP_001092819"
"mmu:100043387","NP_001092797"
"mmu:100043403","NP_001361058"
"mmu:100043456","NP_001257358"
"mmu:100043461","NP_001357799"
"mmu:100043467","XP_001480278"
"mmu:100043468","NP_001136429"
"mmu:100043474","NP_001185991"
"mmu:100043497","NP_001240839"
"mmu:100043523","NP_001160623"
"mmu:100043536","NP_001160316"
"mmu:100043566","NP_001357829"
"mmu:100043569","NP_001160319"
"mmu:100043596","NP_001160320"
"mmu:100043597","NP_001291195"
"mmu:100043604","NP_001116154"
"mmu:100043614","NP_001160321"
"mmu:100043617","XP_030098997"
"mmu:100043627","NP_001186238"
"mmu:100043629","XP_011240331"
"mmu:100043638","NP_001311481"
"mmu:100043645","NP_001032325"
"mmu:100043665","NP_001188293"
"mmu:100043667","NP_001160322"
"mmu:100043684","NP_001153622"
"mmu:100043686","NP_001153623"
"mmu:100043688","NP_001153624"
"mmu:100043721","XP_030104079"
"mmu:100043757","NP_001092798"
"mmu:100043772","NP_001241880"
"mmu:100043809","XP_001481042"
"mmu:100043811","XP_001481051"
"mmu:100043813","NP_001177187"
"mmu:100043814","XP_001481053"
"mmu:100043827","NP_001297589"
"mmu:100043836","NP_001185800"
"mmu:100043842","NP_001297586"
"mmu:100043856","NP_001297550"
"mmu:100043860","NP_001092799"
"mmu:100043861","NP_001093388"
"mmu:100043864","XP_030099003"
"mmu:100043868","NP_001092800"
"mmu:100043899","NP_001092801"
"mmu:100043914","NP_001361675"
"mmu:100043915","NP_001243409"
"mmu:100043918","XP_006536448"
"mmu:100043920","NP_001344519"
"mmu:100043921","XP_006536440"
"mmu:100044068","XP_030107615"
"mmu:100044193","NP_001019902"
"mmu:100044509","NP_001182187"
"mmu:100044627","XP_003688806"
"mmu:100045026","NP_001034330"
"mmu:100045125","XP_011249234"
"mmu:100045778","NP_001207428"
"mmu:100045792","NP_001181965"
"mmu:100046078","XP_003085350"
"mmu:100046950","XP_006519985"
"mmu:100047671","XP_003085155"
"mmu:100048185","XP_011240947"
"mmu:100048534","NP_081835"
"mmu:100048644","NP_001158285"
"mmu:100048658","NP_001177973"
"mmu:100048884","NP_001186262"
"mmu:100061","NP_780514"
"mmu:100066","NP_001004141"
"mmu:100072","NP_001075026"
"mmu:100073351","NP_001092193"
"mmu:100087","NP_083847"
"mmu:100088","NP_598639"
"mmu:100090","NP_598640"
"mmu:100101806","NP_001093580"
"mmu:100101807","NP_001093586"
"mmu:100101919","NP_001297264"
"mmu:100102","NP_705793"
"mmu:100113398","NP_001094076"
"mmu:100121","NP_666254"
"mmu:100125586","NP_001098062"
"mmu:100126226","NP_001188252"
"mmu:100126765","NP_001171058"
"mmu:100126766","NP_001238845"
"mmu:100126768","NP_001171057"
"mmu:100126773","NP_001171056"
"mmu:100126774","NP_001231692"
"mmu:100126775","NP_001242980"
"mmu:100126776","NP_001242979"
"mmu:100126777","NP_001171054"
"mmu:100126778","NP_001171055"
"mmu:100126779","NP_001171053"
"mmu:100126824","NP_001104758"
"mmu:100129","NP_848493"
"mmu:100135654","NP_001095927"
"mmu:100135657","NP_001171898"
"mmu:100141474","NP_001276047"
"mmu:100151772","XP_011246026"
"mmu:100155","NP_001357772"
"mmu:100163","NP_001272803"
"mmu:100169","NP_780515"
"mmu:100169864","NP_001265200"
"mmu:100169868","NP_001361085"
"mmu:100169871","XP_011240941"
"mmu:100170401","NP_001170996"
"mmu:100177","NP_001272814"
"mmu:100182","NP_001038979"
"mmu:100188919","NP_001296359"
"mmu:100189605","NP_001128599"
"mmu:100191037","NP_001129463"
"mmu:100198","NP_001277933"
"mmu:100201","NP_852066"
"mmu:100206","NP_598644"
"mmu:100210","NP_598645"
"mmu:100213","NP_001032798"
"mmu:100216455","NP_001135882"
"mmu:100216474","NP_001091737"
"mmu:100226","NP_598648"
"mmu:100233175","NP_001136410"
"mmu:100233207","NP_001136425"
"mmu:100233208","NP_001136435"
"mmu:100270744","NP_001138572"
"mmu:100271704","NP_001157244"
"mmu:100271882","NP_001139335"
"mmu:100271928","NP_001171005"
"mmu:100273","NP_775485"
"mmu:100294583","NP_001153215"
"mmu:100294660","NP_001182563"
"mmu:100302688","NP_001157846"
"mmu:100303732","NP_001170875"
"mmu:100303744","NP_001158259"
"mmu:100310809","NP_001341682"
"mmu:100310872","NP_001160101"
"mmu:100312470","NP_001161006"
"mmu:100312471","NP_001161007"
"mmu:100312473","NP_001161008"
"mmu:100312474","NP_001161009"
"mmu:100312475","NP_001161010"
"mmu:100312476","NP_001161011"
"mmu:100312477","NP_001161012"
"mmu:100312484","NP_001161013"
"mmu:100312485","NP_001161014"
"mmu:100312948","NP_001161056"
"mmu:100312949","NP_001161060"
"mmu:100312956","NP_001161064"
"mmu:100312986","NP_001161145"
"mmu:100312987","NP_001186882"
"mmu:100317","NP_598647"
"mmu:100322896","NP_001164176"
"mmu:100328588","NP_001164495"
"mmu:100336","NP_666266"
"mmu:100340","NP_598649"
"mmu:100342","NP_780516"
"mmu:100383","NP_598650"
