Input ID	IDsource	Output ID	source of the output ID
C00632	KEGG	548-93-6	CAS registry number
C00633	KEGG	123-08-0	CAS registry number
C00634	KEGG	24967-93-9	CAS registry number
C00635	KEGG	25322-46-7	CAS registry number
C00637	KEGG	2591-98-2	CAS registry number
C00639	KEGG	551-11-1	CAS registry number
C00642	KEGG	156-38-7	CAS registry number
C00643	KEGG	4350-09-8	CAS registry number
C00644	KEGG	15806-48-1	CAS registry number
C00645	KEGG	3615-17-6	CAS registry number
C00647	KEGG	529-96-4	CAS registry number
C00652	KEGG	2782-09-4	CAS registry number
C00655	KEGG	523-98-8	CAS registry number
C00661	KEGG	591-59-3	CAS registry number
C00669	KEGG	636-58-8	CAS registry number
C00672	KEGG	17210-42-3	CAS registry number
C00674	KEGG	846-46-8	CAS registry number
C00682	KEGG	3270-98-2	CAS registry number
C00689	KEGG	4484-88-2	CAS registry number
C00691	KEGG	488-64-2	CAS registry number
C00695	KEGG	81-25-4	CAS registry number
C00696	KEGG	41598-07-6	CAS registry number
C00697	KEGG	7727-37-9	CAS registry number
C00698	KEGG	16887-00-6	CAS registry number
C00705	KEGG	800-73-7	CAS registry number
C00707	KEGG	9014-63-5	CAS registry number
C00711	KEGG	617-48-1	CAS registry number
C00712	KEGG	112-80-1	CAS registry number
C00713	KEGG	33401-87-5	CAS registry number
C00714	KEGG	9000-69-5	CAS registry number
C00715	KEGG	2236-60-4	CAS registry number
C00716	KEGG	302-84-1	CAS registry number
C00718	KEGG	9005-82-7	CAS registry number
C00719	KEGG	107-43-7	CAS registry number
C00720	KEGG	24959-67-9	CAS registry number
C00721	KEGG	9004-53-9	CAS registry number
C00723	KEGG	9004-10-8	CAS registry number
C00725	KEGG	62-46-4	CAS registry number
C00727	KEGG	504-15-4	CAS registry number
C00729	KEGG	120-29-6	CAS registry number
C00732	KEGG	58970-76-6	CAS registry number
C00735	KEGG	50-23-7	CAS registry number
C00736	KEGG	3374-22-9	CAS registry number
C00739	KEGG	923-27-3	CAS registry number
C00740	KEGG	312-84-5	CAS registry number
C00741	KEGG	431-03-8	CAS registry number
C00742	KEGG	7782-41-4	CAS registry number
C00744	KEGG	11049-15-3	CAS registry number
C00745	KEGG	54-11-5	CAS registry number
C00746	KEGG	50-56-6	CAS registry number
C00747	KEGG	110-86-1	CAS registry number
C00750	KEGG	71-44-3	CAS registry number
C00751	KEGG	111-02-4	CAS registry number
C00752	KEGG	9002-04-4	CAS registry number
C00753	KEGG	7440-33-7	CAS registry number
C00755	KEGG	121-33-5	CAS registry number
C00756	KEGG	111-87-5	CAS registry number
C00757	KEGG	2086-83-1	CAS registry number
C00758	KEGG	486-60-2	CAS registry number
C00760	KEGG	9004-34-6	CAS registry number
C00761	KEGG	531-29-3	CAS registry number
C00762	KEGG	53-06-5	CAS registry number
C00763	KEGG	344-25-2	CAS registry number
C00764	KEGG	3615-56-3	CAS registry number
C00765	KEGG	11024-24-1	CAS registry number
C00766	KEGG	487-26-3	CAS registry number
C00768	KEGG	4998-57-6	CAS registry number
C00768	KEGG	71-00-1	CAS registry number
C00770	KEGG	1114-17-6	CAS registry number
C00771	KEGG	9008-22-4	CAS registry number
C00772	KEGG	541-07-1	CAS registry number
C00773	KEGG	26305-03-3	CAS registry number
C00774	KEGG	60-82-2	CAS registry number
C00777	KEGG	302-79-4	CAS registry number
C00778	KEGG	9009-81-8	CAS registry number
C00779	KEGG	49598-85-8	CAS registry number
C00780	KEGG	50-67-9	CAS registry number
C00783	KEGG	532-24-1	CAS registry number
C00785	KEGG	104-98-3	CAS registry number
C00786	KEGG	158112-50-6	CAS registry number
C00788	KEGG	51-43-4	CAS registry number
C00789	KEGG	3506-17-0	CAS registry number
C00791	KEGG	60-27-5	CAS registry number
C00792	KEGG	157-06-2	CAS registry number
C00793	KEGG	921-01-7	CAS registry number
C00794	KEGG	50-70-4	CAS registry number
C00795	KEGG	87-81-0	CAS registry number
C00796	KEGG	66-76-2	CAS registry number
C00797	KEGG	75-04-7	CAS registry number
C00800	KEGG	526-97-6	CAS registry number
C00802	KEGG	585-05-7	CAS registry number
C00803	KEGG	109-52-4	CAS registry number
C00804	KEGG	471-25-0	CAS registry number
C00805	KEGG	69-72-7	CAS registry number
C00806	KEGG	54-12-6	CAS registry number
C00808	KEGG	464-49-3	CAS registry number
C00808	KEGG	76-22-2	CAS registry number
C00809	KEGG	464-48-2	CAS registry number
C00810	KEGG	53584-56-8	CAS registry number
C00811	KEGG	501-98-4	CAS registry number
C00811	KEGG	7400-08-0	CAS registry number
C00813	KEGG	67-52-7	CAS registry number
C00814	KEGG	491-80-5	CAS registry number
C00815	KEGG	2306-22-1	CAS registry number
C00816	KEGG	9001-12-1	CAS registry number
C00818	KEGG	87-73-0	CAS registry number
C00819	KEGG	5959-95-5	CAS registry number
C00820	KEGG	632-20-2	CAS registry number
C00822	KEGG	4430-97-1	CAS registry number
C00823	KEGG	36653-82-4	CAS registry number
C00825	KEGG	4696-76-8	CAS registry number
C00826	KEGG	53078-86-7	CAS registry number
C00828	KEGG	11032-49-8	CAS registry number
C00829	KEGG	91-20-3	CAS registry number
C00830	KEGG	473-90-5	CAS registry number
C00831	KEGG	496-65-1	CAS registry number
C00832	KEGG	7542-37-2	CAS registry number
C00835	KEGG	17094-01-8	CAS registry number
C00836	KEGG	764-22-7	CAS registry number
C00837	KEGG	85-17-6	CAS registry number
C00840	KEGG	11000-17-2	CAS registry number
C00841	KEGG	2009-24-7	CAS registry number
C00842	KEGG	2196-62-5	CAS registry number
C00843	KEGG	14073-97-3	CAS registry number
C00844	KEGG	99-18-3	CAS registry number
C00846	KEGG	689-31-6	CAS registry number
C00847	KEGG	82-82-6	CAS registry number
C00848	KEGG	70222-88-7	CAS registry number
C00849	KEGG	141-78-6	CAS registry number
C00852	KEGG	202650-88-2	CAS registry number
C00852	KEGG	327-97-9	CAS registry number
C00853	KEGG	18534-66-2	CAS registry number
C00854	KEGG	108-93-0	CAS registry number
C00855	KEGG	348-67-4	CAS registry number
C00858	KEGG	485-72-3	CAS registry number
C00859	KEGG	545-97-1	CAS registry number
C00862	KEGG	89873-36-9	CAS registry number
C00864	KEGG	79-83-4	CAS registry number
C00870	KEGG	100-02-7	CAS registry number
C00872	KEGG	1068-84-4	CAS registry number
C00873	KEGG	484-42-4	CAS registry number
C00873	KEGG	9041-90-1	CAS registry number
C00876	KEGG	64885-97-8	CAS registry number
C00877	KEGG	992-67-6	CAS registry number
C00879	KEGG	526-99-8	CAS registry number
C00881	KEGG	951-77-9	CAS registry number
C00882	KEGG	3633-59-8	CAS registry number
C00884	KEGG	3650-73-5	CAS registry number
C00885	KEGG	22642-82-6	CAS registry number
C00887	KEGG	10024-97-2	CAS registry number
C00888	KEGG	4752-33-4	CAS registry number
C00894	KEGG	5776-58-9	CAS registry number
C00897	KEGG	4482-75-1	CAS registry number
C00898	KEGG	87-69-4	CAS registry number
C00899	KEGG	22737-96-8	CAS registry number
